station_id,station_name,country,region,latitude,longitude,elevation_m,timezone,wmo,source_url,monthly_url,date,year,month,temp,temp_source,tmin,tmin_source,tmax,tmax_source,txmn,txmn_source,txmx,txmx_source,prcp,prcp_source,pres,pres_source,tsun,tsun_source,tavg,tavg_norm_1995_2024,prcp_norm_1995_2024,tavg_months_count,prcp_months_count,tavg_anomaly,prcp_anomaly,prcp_ratio
20674,Ostrov Dikson,RU,TAY,73.5,80.4,47,Asia/Krasnoyarsk,20674,https://github.com/meteostat/weather-stations/blob/main/stations/20674.json,https://data.meteostat.net/monthly/20674.csv.gz,1995-01-01,1995,1,-21.6,climat,-24.7,climat,-17.0,climat,-37.1,ghcnd,-3.6,ghcnd,46.0,climat,1004.8,climat,,,-21.6,-23.753333333333334,35.7,30,30,2.1533333333333324,10.299999999999997,1.2885154061624648
20674,Ostrov Dikson,RU,TAY,73.5,80.4,47,Asia/Krasnoyarsk,20674,https://github.com/meteostat/weather-stations/blob/main/stations/20674.json,https://data.meteostat.net/monthly/20674.csv.gz,1995-02-01,1995,2,-18.4,climat,-21.5,climat,-14.2,climat,-29.6,ghcnd,-2.0,ghcnd,98.0,climat,1006.5,climat,1440.0,climat,-18.4,-23.223333333333336,32.1,30,30,4.823333333333338,65.9,3.0529595015576323
20674,Ostrov Dikson,RU,TAY,73.5,80.4,47,Asia/Krasnoyarsk,20674,https://github.com/meteostat/weather-stations/blob/main/stations/20674.json,https://data.meteostat.net/monthly/20674.csv.gz,1995-03-01,1995,3,-16.7,climat,-19.8,ghcnd,-13.3,ghcnd,-34.9,ghcnd,-0.2,ghcnd,65.0,climat,,,,,-16.7,-20.756666666666668,27.5,30,30,4.056666666666668,37.5,2.3636363636363638
20674,Ostrov Dikson,RU,TAY,73.5,80.4,47,Asia/Krasnoyarsk,20674,https://github.com/meteostat/weather-stations/blob/main/stations/20674.json,https://data.meteostat.net/monthly/20674.csv.gz,1995-04-01,1995,4,-7.8,climat,-10.7,climat,-5.2,climat,-19.6,ghcnd,0.2,ghcnd,26.0,climat,1015.7,climat,7500.0,climat,-7.8,-14.556666666666667,21.533333333333335,30,30,6.756666666666667,4.466666666666665,1.2074303405572755
20674,Ostrov Dikson,RU,TAY,73.5,80.4,47,Asia/Krasnoyarsk,20674,https://github.com/meteostat/weather-stations/blob/main/stations/20674.json,https://data.meteostat.net/monthly/20674.csv.gz,1995-05-01,1995,5,-7.7,climat,-9.7,climat,-5.6,climat,-21.2,ghcnd,1.2,ghcnd,14.0,climat,1018.3,climat,10200.0,climat,-7.7,-6.5633333333333335,23.666666666666668,30,30,-1.1366666666666667,-9.666666666666668,0.5915492957746479
20674,Ostrov Dikson,RU,TAY,73.5,80.4,47,Asia/Krasnoyarsk,20674,https://github.com/meteostat/weather-stations/blob/main/stations/20674.json,https://data.meteostat.net/monthly/20674.csv.gz,1995-06-01,1995,6,-0.3,climat,-1.4,climat,1.0,climat,-4.1,ghcnd,7.1,ghcnd,11.0,climat,1007.1,climat,6480.0,climat,-0.3,1.1766666666666665,29.0,30,30,-1.4766666666666666,-18.0,0.3793103448275862
20674,Ostrov Dikson,RU,TAY,73.5,80.4,47,Asia/Krasnoyarsk,20674,https://github.com/meteostat/weather-stations/blob/main/stations/20674.json,https://data.meteostat.net/monthly/20674.csv.gz,1995-07-01,1995,7,6.0,climat,4.0,climat,8.6,climat,-0.4,ghcnd,17.0,ghcnd,12.0,climat,1009.4,climat,16260.0,climat,6.0,5.95,34.0,30,30,0.04999999999999982,-22.0,0.35294117647058826
20674,Ostrov Dikson,RU,TAY,73.5,80.4,47,Asia/Krasnoyarsk,20674,https://github.com/meteostat/weather-stations/blob/main/stations/20674.json,https://data.meteostat.net/monthly/20674.csv.gz,1995-08-01,1995,8,9.0,climat,7.3,climat,11.5,climat,2.9,ghcnd,18.6,ghcnd,60.0,climat,1005.8,climat,9600.0,climat,9.0,6.6433333333333335,40.56666666666667,30,30,2.3566666666666665,19.43333333333333,1.4790468364831553
20674,Ostrov Dikson,RU,TAY,73.5,80.4,47,Asia/Krasnoyarsk,20674,https://github.com/meteostat/weather-stations/blob/main/stations/20674.json,https://data.meteostat.net/monthly/20674.csv.gz,1995-09-01,1995,9,1.9,climat,0.4,climat,3.3,climat,-3.9,ghcnd,10.7,ghcnd,31.0,climat,1010.2,climat,3000.0,climat,1.9,2.6666666666666665,43.7,30,30,-0.7666666666666666,-12.700000000000003,0.7093821510297482
20674,Ostrov Dikson,RU,TAY,73.5,80.4,47,Asia/Krasnoyarsk,20674,https://github.com/meteostat/weather-stations/blob/main/stations/20674.json,https://data.meteostat.net/monthly/20674.csv.gz,1995-10-01,1995,10,-6.8,climat,-8.8,climat,-4.4,climat,-20.9,ghcnd,2.4,ghcnd,35.0,climat,999.5,climat,1140.0,climat,-6.8,-5.743333333333333,38.666666666666664,30,30,-1.0566666666666666,-3.6666666666666643,0.9051724137931035
